PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
279-013,26 BEALE WAY,1010,Ranch,1954,1880,0.23,"$        1,079,700.00","$     1,005,000.00",06/29/2023,BARNS
279-028,101 RENDEZVOUS LANE,1010,Conventional,1920,2147,0.63,"$        1,492,000.00","$     1,595,000.00",05/15/2023,BARNS
279-035,3074 MAIN ST./RTE 6A(BARN.),1010,Colonial,1739,3436,0.42,"$        1,021,900.00","$     1,150,000.00",07/18/2023,BARNS
279-083,52 HARRIS MEADOW LANE,1300,Vacant Land,0,0,1.45,"$        1,169,600.00","$     1,182,500.00",07/17/2023,BARNS
279-094,30 HARRIS MEADOW LANE,1090,Ranch,1991,3584,1,"$        2,445,900.00","$     2,317,500.00",07/17/2023,BARNS
297-006,1367 HYANNIS-BARNSTABLE ROAD,1010,Ranch,1952,1018,0.59,"$           429,500.00","$        550,000.00",06/02/2023,BARNS
297-055,109 PALOMINO DRIVE,1010,Ranch,1981,1592,1.15,"$           665,700.00","$        802,500.00",11/09/2023,BARNS
298-073,29 COACH LANE,1010,Ranch,1974,1372,0.81,"$           626,200.00","$        655,000.00",09/12/2023,BARNS
299-023,3217 MAIN ST./RTE 6A(BARN.),031S,Res Typ Com,1700,2917,0.2,"$           703,900.00","$        850,000.00",04/29/2022,BARNS
299-033,3256 MAIN ST./RTE 6A(BARN.),3400,Office Bldg,1987,1005,0.13,"$           817,000.00","$        835,000.00",01/19/2023,BARNS
301-044,45 FIRST WAY,1010,Ranch,1945,1678,0.23,"$           977,600.00","$     1,150,000.00",10/13/2023,BARNS
314-041-00E,270 COMMUNICATION WAY,343O,Condo Office,1988,1300,0,"$           250,300.00","$        295,000.00",06/15/2023,BARNS
314-041-00P,270 COMMUNICATION WAY,343O,Condo Office,1988,1300,0,"$           197,100.00","$        265,000.00",11/10/2022,BARNS
314-041-0AB,270 COMMUNICATION WAY,343O,Condo Office,1988,1000,0,"$           157,900.00","$        165,000.00",01/31/2022,BARNS
